NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.4,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.4,
Experiment Name,sample2bloom 2024-07-11 11-42-28.nano,
Operator Name,kasson,
Time Captured,11:42:28  11/07/2024,
Sample Description,bloom-heat2,
Pre-treatment,,
Diluent,9x,
Remarks,,
,,
,,,,,
Filename:,sample2bloom 2024-07-11 11-42-49,sample2bloom 2024-07-11 11-44-00,sample2bloom 2024-07-11 11-45-12,sample2bloom 2024-07-11 11-46-24,sample2bloom 2024-07-11 11-47-35,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,20.527,20.578,20.568,20.589,20.609,
Viscosity/cP,0.987247,0.986026,0.986265,0.985763,0.985286,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,14,14,14,15,15,
Slider Shutter,1259,1259,1259,1206,1206,
Slider Gain,366,366,366,366,366,
Shutter/ms,31.480000,31.480000,31.480000,30.150000,30.150000,
Camera Histogram Upper Limit,6588,6588,6588,3294,3294,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.0000,12.0000,12.0000,12.0000,10.2016,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),4.25e+07,4.24e+07,4.61e+07,7.40e+08,1.63e+08,2.07e+08,1.35e+08,
Particles per frame,2.3,2.3,2.5,40.4,8.9,11.3,7.4,
Centres per frame,2.8,3.3,3.6,58.4,18.1,17.2,10.7,
Completed tracks,486,665,683,16036,3127,,,
X-Drift (pix/frame),-3.0,-2.7,-3.0,-0.4,-2.5,,,
Y-Drift (pix/frame),-0.1,-0.1,-0.1,0.0,0.0,,,
,,,,,,,,
[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,Low concentration,Low concentration,Low concentration,OK,Low concentration,
Video length,OK,OK,OK,OK,OK,
Noise level,No,High noise,High noise,High noise,High noise,
Vibration detected,High vibration,High vibration,High vibration,High vibration,High vibration,
Vibration correction applied,No,No,No,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,sample2bloom 2024-07-11 11-42-49,sample2bloom 2024-07-11 11-44-00,sample2bloom 2024-07-11 11-45-12,sample2bloom 2024-07-11 11-46-24,sample2bloom 2024-07-11 11-47-35,Average,Standard Error,
Mean,113.6,125.9,120.2,182.7,117.1,131.9,12.9,
Mode,111.1,122.9,115.9,81.7,114.3,109.2,7.1,
SD,35.0,55.9,25.6,158.4,26.5,60.3,25.1,
D10,67.4,80.1,88.4,64.3,84.5,76.9,4.7,
D50,111.5,116.9,117.1,119.4,114.9,116.0,1.3,
D90,163.7,257.5,157.5,461.5,153.9,238.8,58.9,
Valid Tracks,131.0,134.0,142.0,1036.0,477.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,3,0,1,1,1,0,
26.5,0,11,0,17,2,6,3,
27.5,0,35,0,145,4,37,28,
28.5,0,107,0,949,7,213,185,
29.5,0,304,0,4754,11,1014,937,
30.5,0,796,2,18677,18,3899,3698,
31.5,0,1904,5,58904,29,12168,11690,
32.5,0,4134,11,152536,45,31345,30308,
33.5,0,8130,21,331668,69,67978,65941,
34.5,0,14479,39,618901,106,126705,123081,
35.5,0,23389,65,1012178,160,207158,201305,
36.5,0,34378,102,1479948,239,302933,294328,
37.5,0,46180,148,1970532,352,403442,391874,
38.5,0,57000,203,2429380,515,497420,483115,
39.5,0,65059,263,2814205,745,576055,559678,
40.5,0,69153,325,3101986,1068,634506,617013,
41.5,0,68985,383,3287954,1516,671767,654181,
42.5,0,65126,434,3380177,2128,689573,672766,
43.5,0,58703,476,3393415,2956,691110,675668,
44.5,0,50990,506,3344380,4060,679987,666167,
45.5,0,43090,525,3248953,5511,659616,647384,
46.5,0,35772,534,3121025,7387,632944,622055,
47.5,0,29454,534,2972332,9777,602419,592502,
48.5,0,24278,528,2812746,12772,570065,560688,
49.5,0,20206,518,2650650,16462,537567,528287,
50.5,0,17112,507,2493237,20935,506358,496738,
51.5,0,14842,497,2346675,26270,477657,467280,
52.5,6,13250,489,2216199,32531,452495,440966,
53.5,32,12215,487,2106188,39771,431739,418675,
54.5,158,11649,491,2020278,48025,416120,401135,
55.5,689,11493,503,1961541,57313,406308,388949,
56.5,2613,11715,526,1932733,67651,403048,382619,
57.5,8562,12308,563,1936557,79050,407408,382546,
58.5,24191,13287,617,1975925,91534,421111,389021,
59.5,59008,14688,695,2054150,105146,446737,402270,
60.5,124786,16571,804,2175038,119971,487434,422674,
61.5,230366,19019,955,2342811,136141,545858,451161,
62.5,374601,22147,1166,2561845,153856,622723,489317,
63.5,542257,26106,1458,2836179,173396,715879,538808,
64.5,706875,31099,1867,3168811,195128,820756,600495,
65.5,839774,37392,2438,3560859,219513,931995,674220,
66.5,919958,45329,3239,4010729,247105,1045272,759356,
67.5,939676,55356,4366,4513486,278546,1158286,855193,
68.5,904007,68027,5950,5060647,314541,1270634,960688,
69.5,826412,84022,8174,5640553,355830,1382998,1073991,
70.5,723339,104132,11286,6239314,403141,1496243,1192310,
71.5,610072,129231,15620,6842170,457122,1610843,1312237,
72.5,498494,160197,21614,7434930,518264,1726700,1430279,
73.5,396490,197791,29838,8005134,586805,1843211,1543318,
74.5,308325,242471,41007,8542626,662646,1959415,1648857,
75.5,235454,294175,55991,9039415,745270,2074061,1745035,
76.5,177411,352086,75804,9488872,833702,2185575,1830454,
77.5,132594,414456,101558,9884503,926514,2291925,1903903,
78.5,98880,478560,134361,10218617,1021889,2390461,1964048,
79.5,74064,540834,175155,10481259,1117745,2477811,2009192,
80.5,56121,597242,224492,10659749,1211903,2549901,2037145,
81.5,43342,643804,282252,10739111,1302280,2602158,2045291,
82.5,34375,677201,347377,10703531,1387065,2629910,2030860,
83.5,28198,695301,417678,10538799,1464877,2628971,1991399,
84.5,24079,697474,489824,10235400,1534850,2596326,1925378,
85.5,21519,684625,559587,9791641,1596668,2530808,1832798,
86.5,20204,658945,622335,9216013,1650530,2433606,1715647,
87.5,19971,623480,673736,8527977,1697073,2308447,1578050,
88.5,20792,581620,710469,7756727,1737270,2161375,1426020,
89.5,22762,536647,730790,6938001,1772307,2000101,1266836,
90.5,26120,491399,734774,6109614,1803481,1833077,1108177,
91.5,31268,448095,724186,5306777,1832099,1668485,957222,
92.5,38813,408294,702048,4558290,1859411,1513371,819910,
93.5,49618,372956,672046,3884318,1886550,1373097,700472,
94.5,64848,342558,637941,3295955,1914506,1251162,601255,
95.5,85999,317229,603118,2796259,1944105,1149342,522755,
96.5,114886,296876,570325,2382172,1975998,1068052,463802,
97.5,153546,281285,541595,2046719,2010660,1006761,421900,
98.5,204044,270201,518296,1781010,2048387,964387,393760,
99.5,268152,263379,501262,1575813,2089299,939581,375954,
100.5,346944,260620,490935,1422621,2133338,930891,365479,
101.5,440349,261782,487487,1314285,2180268,936834,360049,
102.5,546791,266790,490910,1245343,2229675,955902,358102,
103.5,663007,275628,501063,1212141,2280967,986561,358622,
104.5,784145,288330,517670,1212869,2333383,1027279,360916,
105.5,904154,304962,540295,1247578,2386003,1076598,364456,
106.5,1016418,325598,568289,1318199,2437770,1133255,368857,
107.5,1114503,350293,600737,1428597,2487512,1196329,374052,
108.5,1192883,379049,636414,1584618,2533986,1265390,380638,
109.5,1247503,411775,673776,1794090,2575916,1340612,390365,
110.5,1276105,448258,710994,2066672,2612048,1422815,406620,
111.5,1278304,488118,746053,2413437,2641204,1513423,434586,
112.5,1255434,530787,776898,2846001,2662338,1614292,480599,
113.5,1210236,575486,801622,3375039,2674584,1727394,550604,
114.5,1146460,621231,818654,4008046,2677303,1854339,648460,
115.5,1068440,666842,826927,4746348,2670110,1995734,775003,
116.5,980698,710993,825985,5581625,2652901,2150440,927900,
117.5,887603,752263,816005,6492507,2625845,2314845,1101698,
118.5,793106,789216,797754,7442209,2589379,2482333,1287823,
119.5,700555,820487,772460,8378309,2544181,2643198,1474739,
120.5,612595,844866,741659,9235718,2491129,2785193,1648588,
121.5,531140,861380,707018,9943249,2431259,2894809,1794486,
122.5,457402,869355,670184,10433229,2365715,2959177,1898412,
123.5,391976,868457,632659,10652433,2295695,2968244,1949363,
124.5,334945,858705,595719,10571813,2222409,2916718,1941270,
125.5,286007,840459,560379,10192418,2147032,2805259,1874166,
126.5,244593,814387,527388,9545765,2070669,2640560,1754248,
127.5,209977,781406,497249,8688458,1994332,2434284,1592795,
128.5,181364,742618,470253,7692501,1918913,2201130,1404234,
129.5,157961,699240,446527,6633844,1845182,1956551,1203856,
130.5,139021,652528,426065,5581901,1773774,1714658,1005741,
131.5,123869,603720,408775,4592072,1705197,1486727,821278,
132.5,111925,553977,394497,3702168,1639834,1280480,658483,
133.5,102696,504349,383037,2932451,1577952,1100097,522004,
134.5,95784,455740,374175,2288275,1519716,946738,413585,
135.5,90869,408900,367676,1764040,1465198,819337,332620,
136.5,87705,364415,363301,1347316,1414392,715426,276502,
137.5,86112,322720,360805,1022409,1367221,631853,240849,
138.5,85957,284099,359939,773003,1323554,565311,220126,
139.5,87153,248714,360450,583846,1283211,512675,208891,
140.5,89644,216612,362079,441645,1245976,471191,202911,
141.5,93396,187754,364562,335371,1211599,438536,199469,
142.5,98383,162028,367630,256202,1179809,412811,197055,
143.5,104577,139270,371011,197279,1150317,392491,194921,
144.5,111936,119279,374432,153372,1122818,376367,192735,
145.5,120383,101832,377624,120562,1097002,363480,190371,
146.5,129800,86695,380330,95937,1072555,353063,187793,
147.5,140012,73633,382308,77358,1049161,344494,185004,
148.5,150779,62415,383343,63252,1026513,337260,182015,
149.5,161795,52823,383247,52473,1004311,330930,178839,
150.5,172689,44653,381871,44181,982271,325133,175484,
151.5,183048,37717,379106,37761,960128,319552,171953,
152.5,192431,31846,374889,32761,937639,313913,168244,
153.5,200405,26888,369200,28849,914594,307987,164351,
154.5,206579,22709,362064,25779,890812,301589,160267,
155.5,210640,19193,353546,23368,866152,294580,155983,
156.5,212375,16237,343745,21479,840512,286869,151489,
157.5,211700,13754,332790,20010,813832,278417,146782,
158.5,208659,11669,320831,18884,786096,269228,141861,
159.5,203421,9917,308033,18045,757331,259349,136735,
160.5,196258,8445,294566,17449,727605,248865,131416,
161.5,187520,7208,280602,17065,697023,237884,125925,
162.5,177603,6166,266306,16870,665726,226534,120289,
163.5,166911,5287,251833,16849,633882,214953,114537,
164.5,155835,4545,237325,16992,601682,203276,108704,
165.5,144725,3917,222909,17294,569330,191635,102826,
166.5,133877,3385,208693,17754,537041,180150,96939,
167.5,123528,2933,194770,18375,505028,168927,91080,
168.5,113850,2548,181214,19165,473501,158055,85285,
169.5,104962,2218,168088,20133,442655,147611,79586,
170.5,96931,1937,155437,21294,412673,137654,74016,
171.5,89786,1695,143297,22665,383712,128231,68604,
172.5,83525,1486,131693,24267,355910,119376,63375,
173.5,78125,1306,120641,26125,329375,111114,58351,
174.5,73549,1151,110150,28270,304192,103462,53551,
175.5,69754,1016,100225,30734,280420,96430,48989,
176.5,66695,898,90867,33558,258092,90022,44679,
177.5,64326,795,82073,36786,237220,84240,40632,
178.5,62609,706,73837,40468,217793,79082,36860,
179.5,61508,627,66151,44662,199786,74547,33379,
180.5,60994,558,59008,49432,183155,70629,30207,
181.5,61043,497,52395,54848,167848,67326,27376,
182.5,61637,443,46301,60989,153800,64634,24929,
183.5,62761,396,40711,67943,140943,62551,22929,
184.5,64401,354,35609,75803,129203,61074,21453,
185.5,66542,317,30979,84674,118503,60203,20589,
186.5,69166,284,26800,94668,108766,59937,20411,
187.5,72247,255,23051,105904,99917,60275,20958,
188.5,75750,230,19709,118510,91882,61216,22222,
189.5,79620,207,16749,132623,84591,62758,24157,
190.5,83787,186,14145,148384,77976,64896,26703,
191.5,88156,168,11871,165942,71975,67622,29804,
192.5,92604,153,9899,185448,66528,70926,33420,
193.5,96982,138,8201,207058,61580,74792,37529,
194.5,101117,126,6750,230927,57083,79200,42126,
195.5,104809,115,5520,257209,52989,84128,47219,
196.5,107849,105,4484,286055,49257,89550,52825,
197.5,110021,96,3619,317607,45849,95439,58971,
198.5,111122,89,2902,351998,42732,101769,65689,
199.5,110977,82,2312,389349,39873,108519,73014,
200.5,109456,76,1831,429759,37246,115674,80982,
201.5,106492,71,1441,473311,34826,123228,89625,
202.5,102091,67,1127,520060,32590,131187,98969,
203.5,96338,63,876,570029,30520,139565,109031,
204.5,89398,60,677,623211,28598,148389,119814,
205.5,81508,58,520,679558,26808,157690,131307,
206.5,72954,56,398,738978,25138,167505,143484,
207.5,64056,54,302,801332,23575,177864,156303,
208.5,55135,53,229,866431,22109,188791,169709,
209.5,46494,53,172,934029,20731,200296,183631,
210.5,38392,53,129,1003822,19433,212366,197992,
211.5,31028,53,96,1075445,18208,224966,212700,
212.5,24533,54,71,1148471,17051,238036,227659,
213.5,18971,56,53,1222408,15956,251489,242761,
214.5,14344,58,39,1296703,14919,265213,257893,
215.5,10601,61,29,1370745,13936,279075,272932,
216.5,7658,65,21,1443865,13005,292923,287746,
217.5,5406,70,15,1515344,12121,306591,302196,
218.5,3730,76,11,1584423,11284,319905,316136,
219.5,2514,84,8,1650310,10491,332682,329413,
220.5,1657,93,6,1712197,9740,344739,341869,
221.5,1067,105,4,1769269,9030,355895,353348,
222.5,671,119,3,1820725,8359,365975,363691,
223.5,413,136,2,1865794,7726,374814,372748,
224.5,249,158,2,1903754,7129,382258,380376,
225.5,146,185,1,1933953,6568,388171,386448,
226.5,84,218,0,1955828,6040,392434,390850,
227.5,47,258,0,1968920,5546,394955,393493,
