Eccentricity,Area,IsVirusGood,ReasonVirusFailed,Virus,Temperature,FOV
0.570423794156919,18,0,"Edge",2006,25,1
0.63300652421273,30,0,"Zero Pixels",2006,25,1
0.610958500409594,17,0,"Zero Pixels",2006,25,1
0.339968748595182,28,0,"Zero Pixels",2006,25,1
0.483566466449174,208,0,">= Max Size",2006,25,1
0.458212945049322,57,0,">= Max Size",2006,25,1
0,21,1,"N/A",2006,25,1
0.585307459431919,45,0,">= Max Size",2006,25,1
0.253090554593949,31,0,">= Max Size",2006,25,1
0.196396101212395,14,1,"N/A",2006,25,1
0.507053010873068,35,0,">= Max Size",2006,25,1
0.532961987108789,21,0,"Zero Pixels",2006,25,1
0.797069825150242,64,0,">= Max Size",2006,25,1
0.787291448959024,13,0,"Zero Pixels",2006,25,1
0.532776543437186,110,0,">= Max Size",2006,25,1
0.66369443859001,28,1,"N/A",2006,25,1
0.528145503411863,35,0,">= Max Size",2006,25,1
0.491217355978626,13,0,"Zero Pixels",2006,25,1
0.472903607729549,12,1,"N/A",2006,25,1
0.933990396345738,107,0,">= Max Size",2006,25,1
0.652071200401997,14,1,"N/A",2006,25,1
0.443383140663568,21,0,"Zero Pixels",2006,25,1
0.611688023124498,47,0,">= Max Size",2006,25,1
0,12,0,"Zero Pixels",2006,25,1
0.403193607143757,39,0,">= Max Size",2006,25,1
0.657535505639407,10,0,"Zero Pixels",2006,25,1
0.559548168583699,76,0,">= Max Size",2006,25,1
0.196396101212395,14,1,"N/A",2006,25,1
0.606597946607022,115,0,">= Max Size",2006,25,1
0.231455024943138,10,1,"N/A",2006,25,1
0.611429250513635,14,0,"Zero Pixels",2006,25,1
0.196396101212395,14,1,"N/A",2006,25,1
0.555947065166863,97,0,">= Max Size",2006,25,1
0.504578167911817,59,0,">= Max Size",2006,25,1
0.45557492609446,28,0,"Zero Pixels",2006,25,1
0.454065553632226,88,0,">= Max Size",2006,25,1
0.68130976218264,52,0,">= Max Size",2006,25,1
0.615410349868673,171,0,">= Max Size",2006,25,1
0.533494348677851,30,0,"Zero Pixels",2006,25,1
0.73496450927458,21,0,"Eccentricity Big Particle",2006,25,1
0.593451132208749,27,0,"Zero Pixels",2006,25,1
0.36519336495331,29,1,"N/A",2006,25,1
0.398780396977718,10,1,"N/A",2006,25,1
0.505261716447085,93,0,">= Max Size",2006,25,1
0.683863021608074,20,1,"N/A",2006,25,1
0.648692862724933,16,1,"N/A",2006,25,1
0.76374718254939,197,0,">= Max Size",2006,25,1
0.587407799848354,10,1,"N/A",2006,25,1
0.719131003153973,15,0,"Zero Pixels",2006,25,1
0.412699238158475,88,0,">= Max Size",2006,25,1
0.909271943588143,65,0,">= Max Size",2006,25,1
0.633573131120442,28,1,"N/A",2006,25,1
0.516051334371075,88,0,">= Max Size",2006,25,1
0.268543077764787,20,0,"Zero Pixels",2006,25,1
0.697494500631404,13,0,"Zero Pixels",2006,25,1
0.47839528325838,11,1,"N/A",2006,25,1
0.434445478416895,12,1,"N/A",2006,25,1
0.472903607729549,12,1,"N/A",2006,25,1
0.4618802153517,15,1,"N/A",2006,25,1
0.589421137715381,19,1,"N/A",2006,25,1
0.182447530123776,14,0,"Zero Pixels",2006,25,1
0.717137165600636,20,0,"Eccentricity Big Particle",2006,25,1
0.505789614981344,13,1,"N/A",2006,25,1
0.529233285510994,78,0,">= Max Size",2006,25,1
0.196396101212394,14,1,"N/A",2006,25,1
0.471362556619427,17,1,"N/A",2006,25,1
0.400437713438065,32,0,">= Max Size",2006,25,1
0.610958500409594,17,0,"Zero Pixels",2006,25,1
0.492379661149175,46,0,">= Max Size",2006,25,1
0.537032299825054,104,0,">= Max Size",2006,25,1
0.566142012055756,24,0,"Zero Pixels",2006,25,1
0.600107228562879,37,0,">= Max Size",2006,25,1
0.440849119767151,116,0,">= Max Size",2006,25,1
0.751916860154261,34,0,">= Max Size",2006,25,1
0.445847675385156,58,0,">= Max Size",2006,25,1
0.472903607729549,12,1,"N/A",2006,25,1
0.821921670678894,17,0,"Eccentricity Big Particle",2006,25,1
